field_name,data_type,null_percentage,minimum,maximum,example_value,endpoint,notes
country,str,0.0,,,Japan,country-list,200/200 records populated
id,int,0.0,1,201,1,country-list,200/200 records populated
iso,str,0.0,,,jp,country-list,200/200 records populated
iso_number,int,0.0,4,917,392,country-list,200/200 records populated
name_de,str,0.0,,,Japan,country-list,200/200 records populated
name_es,str,0.0,,,Japón,country-list,200/200 records populated
name_jp,str,0.0,,,日本,country-list,200/200 records populated
name_kr,str,0.0,,,일본,country-list,200/200 records populated
name_nl,str,0.0,,,Japan,country-list,200/200 records populated
name_pt,str,0.0,,,Japão,country-list,200/200 records populated
name_ru,str,0.0,,,Япония,country-list,200/200 records populated
name_se,str,0.0,,,Japan,country-list,200/200 records populated
name_tr,str,0.0,,,Japonya,country-list,200/200 records populated
country,str,0.0,,,USA,league-list,200/200 records populated
image,str,0.0,,,https://cdn.footystats.org/img/competitions/usa-mls.png,league-list,200/200 records populated
league_name,str,0.0,,,MLS,league-list,200/200 records populated
name,str,0.0,,,USA MLS,league-list,200/200 records populated
season,str,0.0,,,[17 items],league-list,200/200 records populated
age,int,0.0,16,35,30,league-players,200/200 records populated
appearances_away,int,0.0,0,1,0,league-players,200/200 records populated
appearances_home,int,0.0,0,1,1,league-players,200/200 records populated
appearances_overall,int,0.0,0,2,1,league-players,200/200 records populated
assists_away,int,0.0,0,1,0,league-players,200/200 records populated
assists_home,int,0.0,0,1,0,league-players,200/200 records populated
assists_overall,int,0.0,0,1,0,league-players,200/200 records populated
assists_per_90_overall,float|int,0.0,0,1.27,0,league-players,200/200 records populated
birthday,int,0.0,655369200,1262246400,811148400,league-players,200/200 records populated
cards_overall,int,0.0,0,2,0,league-players,200/200 records populated
cards_per_90_overall,float|int,0.0,0,30,0,league-players,200/200 records populated
clean_sheets_away,int,0.0,0,1,0,league-players,200/200 records populated
clean_sheets_home,int,0.0,0,1,1,league-players,200/200 records populated
clean_sheets_overall,int,0.0,0,2,1,league-players,200/200 records populated
clean_sheets_per_overall,int,0.0,0,100,100,league-players,200/200 records populated
club_team_2_id,int,0.0,-1,-1,-1,league-players,200/200 records populated
club_team_id,int,0.0,59,239,59,league-players,200/200 records populated
competition_id,int,0.0,17146,17146,17146,league-players,200/200 records populated
conceded_away,int,0.0,0,3,0,league-players,200/200 records populated
conceded_home,int,0.0,0,4,0,league-players,200/200 records populated
conceded_overall,int,0.0,0,6,0,league-players,200/200 records populated
conceded_per_90_overall,float|int,0.0,0,6,0,league-players,200/200 records populated
continent,str,0.0,,,eu,league-players,200/200 records populated
ending_year,int,0.0,2027,2027,2027,league-players,200/200 records populated
first_name,str,0.0,,,David,league-players,200/200 records populated
full_name,str,0.0,,,David Raya Martin,league-players,200/200 records populated
goals_away,int,0.0,0,1,0,league-players,200/200 records populated
goals_home,int,0.0,0,1,0,league-players,200/200 records populated
goals_involved_per_90_overall,float|int,0.0,0,4.74,0,league-players,200/200 records populated
goals_overall,int,0.0,0,1,0,league-players,200/200 records populated
goals_per_90_away,float|int,0.0,0,2.9,0,league-players,200/200 records populated
goals_per_90_home,float|int,0.0,0,4.74,0,league-players,200/200 records populated
goals_per_90_overall,float|int,0.0,0,4.74,0,league-players,200/200 records populated
height,int,0.0,-1,206,186,league-players,200/200 records populated
id,int,0.0,847,976708,7235,league-players,200/200 records populated
known_as,str,0.0,,,David Raya,league-players,200/200 records populated
last_match_timestamp,int,0.0,0,1788012000,1787338800,league-players,200/200 records populated
last_name,str,0.0,,,Raya Martin,league-players,200/200 records populated
league,str,0.0,,,Premier League,league-players,200/200 records populated
league_type,str,0.0,,,Domestic League,league-players,200/200 records populated
min_per_assist_overall,int,0.0,0,180,0,league-players,200/200 records populated
min_per_card_overall,int,0.0,0,180,0,league-players,200/200 records populated
