table,field_name,data_type,row_count,non_null_count,null_percentage,distinct_count,minimum,maximum,example_value,plausibility
players,player_id,BIGINT,50149,50149,0.0,50149,10,1555760,10,
players,first_name,VARCHAR,50149,46988,6.3,10801,,,Miroslav,
players,last_name,VARCHAR,50149,50149,0.0,33875,,,Klose,
players,name,VARCHAR,50149,50149,0.0,48825,,,Miroslav Klose,
players,last_season,BIGINT,50149,50149,0.0,14,2012,2025,2015,
players,current_club_id,BIGINT,50149,50149,0.0,1852,2,142301,398,
players,player_code,VARCHAR,50149,50149,0.0,48738,,,miroslav-klose,
players,country_of_birth,VARCHAR,50149,44263,11.74,211,,,Poland,
players,city_of_birth,VARCHAR,50149,44540,11.18,11973,,,Opole,
players,country_of_citizenship,VARCHAR,50149,49880,0.54,202,,,Germany,
players,date_of_birth,TIMESTAMP,50149,50100,0.1,10359,1968-07-31 00:00:00,2011-02-23 00:00:00,1978-06-09 00:00:00,
players,sub_position,VARCHAR,50149,49563,1.17,13,,,Centre-Forward,
players,position,VARCHAR,50149,50149,0.0,5,,,Attack,
players,foot,VARCHAR,50149,44256,11.75,3,,,right,
players,height_in_cm,BIGINT,50149,45784,8.7,58,17,210,184,13 outside 140-220
players,contract_expiration_date,TIMESTAMP,50149,31581,37.03,241,2000-05-31 00:00:00,2035-06-30 00:00:00,2023-12-31 00:00:00,
players,agent_name,VARCHAR,50149,26853,46.45,3958,,,ASBW Sport Marketing,
players,image_url,VARCHAR,50149,50149,0.0,41061,,,https://img.a.transfermarkt.technology/portrait/header/10-14,
players,international_caps,BIGINT,50149,19356,61.4,159,0,233,129,
players,international_goals,BIGINT,50149,19356,61.4,68,0,146,41,
players,current_national_team_id,BIGINT,50149,3260,93.5,123,3262,53982,3584,
players,url,VARCHAR,50149,50149,0.0,50149,,,https://www.transfermarkt.co.uk/miroslav-klose/profil/spiele,
players,current_club_domestic_competition_id,VARCHAR,50149,47163,5.95,32,,,IT1,
players,current_club_name,VARCHAR,50149,47163,5.95,793,,,Società Sportiva Lazio S.p.A.,
players,market_value_in_eur,BIGINT,50149,41528,17.19,121,10000,200000000,1000000,all within range
players,highest_market_value_in_eur,BIGINT,50149,41528,17.19,206,10000,200000000,30000000,all within range
clubs,club_id,BIGINT,796,796,0.0,796,3,118373,10,
clubs,club_code,VARCHAR,796,796,0.0,796,,,arminia-bielefeld,
